method	track	genre	ref	est	acc1	acc2	sec
tempocnn_deeptemp	5135326.LOFI	house	130.0	130.0	1	1	0.87
tempocnn_deeptemp	1791554.LOFI	techno	125.0	126.0	1	1	0.8
tempocnn_deeptemp	2677224.LOFI	techno	127.0	126.0	1	1	0.8
tempocnn_deeptemp	2726353.LOFI	techno	117.0	118.0	1	1	0.83
deeprhythm	3863498.LOFI	hip-hop	150.0	147.0	1	1	4.79
deeprhythm	4633603.LOFI	hip-hop	139.0	139.0	1	1	2.6
deeprhythm	3958395.LOFI	funk-r-and-b	136.0	134.0	1	1	2.6
deeprhythm	3733281.LOFI	reggae-dub	70.0	139.0	0	1	2.59
deeprhythm	1874244.LOFI	reggae-dub	71.0	139.0	0	1	2.55
deeprhythm	3892740.LOFI	pop-rock	129.0	128.0	1	1	2.6
deeprhythm	1743969.LOFI	pop-rock	79.0	78.0	1	1	2.62
deeprhythm	3151015.LOFI	pop-rock	174.0	86.0	0	1	2.61
deeprhythm	4093555.LOFI	glitch-hop	92.0	92.0	1	1	2.92
deeprhythm	3983645.LOFI	glitch-hop	110.0	109.0	1	1	2.72
deeprhythm	5070846.LOFI	glitch-hop	110.0	109.0	1	1	2.67
deeprhythm	4714481.LOFI	glitch-hop	112.0	112.0	1	1	2.64
deeprhythm	4468729.LOFI	glitch-hop	160.0	80.0	0	1	2.7
deeprhythm	4703149.LOFI	glitch-hop	110.0	109.0	1	1	2.58
deeprhythm	1839656.LOFI	dubstep	140.0	139.0	1	1	2.66
deeprhythm	4936740.LOFI	dubstep	142.0	139.0	1	1	2.39
deeprhythm	3577628.LOFI	dubstep	139.0	139.0	1	1	2.46
deeprhythm	4163587.LOFI	dubstep	127.0	126.0	1	1	2.62
deeprhythm	3875632.LOFI	dubstep	139.0	139.0	1	1	2.6
deeprhythm	4020698.LOFI	dubstep	141.0	139.0	1	1	2.6
deeprhythm	210560.LOFI	chill-out	78.0	78.0	1	1	2.58
deeprhythm	4091609.LOFI	chill-out	80.0	80.0	1	1	2.61
deeprhythm	1885798.LOFI	chill-out	101.0	100.0	1	1	2.59
deeprhythm	3658743.LOFI	chill-out	144.0	143.0	1	1	2.6
deeprhythm	172384.LOFI	chill-out	84.0	83.0	1	1	2.62
deeprhythm	426992.LOFI	breaks	167.0	83.0	0	1	2.66
deeprhythm	4694833.LOFI	breaks	144.0	143.0	1	1	2.6
deeprhythm	4800274.LOFI	breaks	141.0	139.0	1	1	2.61
deeprhythm	4773948.LOFI	breaks	139.0	139.0	1	1	2.63
deeprhythm	3467867.LOFI	drum-and-bass	170.0	86.0	0	1	2.58
deeprhythm	672063.LOFI	drum-and-bass	174.0	87.0	0	1	2.6
deeprhythm	3907042.LOFI	drum-and-bass	170.0	84.0	0	1	2.61
deeprhythm	2725286.LOFI	drum-and-bass	174.0	87.0	0	1	2.61
deeprhythm	4331667.LOFI	drum-and-bass	174.0	86.0	0	1	2.59
deeprhythm	5261461.LOFI	house	174.0	87.0	0	1	2.61
deeprhythm	2013128.LOFI	house	127.0	126.0	1	1	2.58
deeprhythm	5135326.LOFI	house	130.0	129.0	1	1	2.61
deeprhythm	1791554.LOFI	techno	125.0	126.0	1	1	2.6
deeprhythm	2677224.LOFI	techno	127.0	126.0	1	1	2.63
deeprhythm	2726353.LOFI	techno	117.0	117.0	1	1	2.59
beat_this	3863498.LOFI	hip-hop	150.0	73.17	0	1	2.51
beat_this	4633603.LOFI	hip-hop	139.0	136.36	1	1	2.03
beat_this	3958395.LOFI	funk-r-and-b	136.0	136.36	1	1	2.07
beat_this	3733281.LOFI	reggae-dub	70.0	69.77	1	1	2.12
beat_this	1874244.LOFI	reggae-dub	71.0	142.86	0	1	2.05
beat_this	3892740.LOFI	pop-rock	129.0	130.43	1	1	2.12
beat_this	1743969.LOFI	pop-rock	79.0	157.89	0	1	2.16
beat_this	3151015.LOFI	pop-rock	174.0	88.24	0	1	2.17
beat_this	4093555.LOFI	glitch-hop	92.0	90.91	1	1	2.38
beat_this	3983645.LOFI	glitch-hop	110.0	111.11	1	1	2.2
beat_this	5070846.LOFI	glitch-hop	110.0	111.11	1	1	2.07
beat_this	4714481.LOFI	glitch-hop	112.0	142.86	0	0	2.1
beat_this	4468729.LOFI	glitch-hop	160.0	81.08	0	1	2.14
beat_this	4703149.LOFI	glitch-hop	110.0	111.11	1	1	2.08
beat_this	1839656.LOFI	dubstep	140.0	142.86	1	1	2.11
beat_this	4936740.LOFI	dubstep	142.0	136.36	1	1	2.09
beat_this	3577628.LOFI	dubstep	139.0	142.86	1	1	2.03
beat_this	4163587.LOFI	dubstep	127.0	125.0	1	1	2.09
beat_this	3875632.LOFI	dubstep	139.0	136.36	1	1	1.92
beat_this	4020698.LOFI	dubstep	141.0	142.86	1	1	2.02
beat_this	210560.LOFI	chill-out	78.0	78.95	1	1	2.05
beat_this	4091609.LOFI	chill-out	80.0	81.08	1	1	1.97
beat_this	1885798.LOFI	chill-out	101.0	100.0	1	1	1.93
beat_this	3658743.LOFI	chill-out	144.0	73.17	0	1	2.11
beat_this	172384.LOFI	chill-out	84.0	83.33	1	1	2.13
beat_this	426992.LOFI	breaks	167.0	166.67	1	1	2.09
beat_this	4694833.LOFI	breaks	144.0	142.86	1	1	2.06
beat_this	4800274.LOFI	breaks	141.0	142.86	1	1	1.97
beat_this	4773948.LOFI	breaks	139.0	142.86	1	1	2.05
beat_this	3467867.LOFI	drum-and-bass	170.0	166.67	1	1	2.05
beat_this	672063.LOFI	drum-and-bass	174.0	176.47	1	1	2.03
beat_this	3907042.LOFI	drum-and-bass	170.0	166.67	1	1	2.03
beat_this	2725286.LOFI	drum-and-bass	174.0	88.24	0	1	2.16
beat_this	4331667.LOFI	drum-and-bass	174.0	176.47	1	1	2.16
beat_this	5261461.LOFI	house	174.0	176.47	1	1	2.07
beat_this	2013128.LOFI	house	127.0	125.0	1	1	2.02
beat_this	5135326.LOFI	house	130.0	130.43	1	1	2.0
beat_this	1791554.LOFI	techno	125.0	300.0	0	0	2.03
beat_this	2677224.LOFI	techno	127.0	125.0	1	1	2.09
beat_this	2726353.LOFI	techno	117.0	120.0	1	1	2.17
